Theme / Interest,Category,Description
Purim,Celebrations & Events,Playful holiday scenes inspired by costumes celebration and storytelling.
Passover,Celebrations & Events,Symbolic artwork capturing heritage rituals and meaningful moments.
Rosh Hashanah,Celebrations & Events,Apples honey and hopeful new year imagery focused on renewal.
St. Patrick’s Day,Celebrations & Events,Irish themed designs with shamrocks folklore and cheerful magic.
Easter,Celebrations & Events,Spring flowers bunnies and joyful seasonal artwork.
Lunar New Year,Celebrations & Events,Dragons lanterns and cultural celebration pieces full of bright color.
Mid-Autumn Festival,Celebrations & Events,Peaceful moon themed artwork with lanterns and night skies.
Chinese New Year (alt to LNY if splitting),Celebrations & Events,Chinese zodiac inspired artwork focused on tradition and festivity.
Kwanzaa,Celebrations & Events,Warm unity centered themes celebrating culture heritage and family.
Pride,Celebrations & Events,Colorful expressive paintings celebrating love identity and inclusion.
Day of the Dead (Día de los Muertos),Celebrations & Events,Decorated skulls flowers and meaningful cultural artwork from Mexico.
Carnival,Celebrations & Events,Mask filled festival scenes bursting with movement and color.
Oktoberfest,Celebrations & Events,Cheerful Bavarian inspired celebration scenes with food music and fun.
Valentine’s Day,Celebrations & Events,Romantic art centered on hearts couples and meaningful gestures.
Mother’s Day,Celebrations & Events,Beautiful heartfelt designs celebrating mothers and family love.
Father’s Day,Celebrations & Events,Creative themes honoring dads with personal gift worthy artwork.
Graduation,Celebrations & Events,Achievement inspired artwork perfect for milestone celebrations.
Birthdays,Celebrations & Events,Fun joyful painting themes great for gifts or party decorations.
New Year’s Eve,Celebrations & Events,Fireworks celebration and new beginnings captured in paintable scenes.
USA,Countries,Iconic American landscapes cities and cultural imagery turned into creative paint by numbers.
Japan,Countries,Tranquil temples cherry blossoms and Japanese scenery with artistic style.
United Kingdom,Countries,Landmarks countryside scenes and British cultural themes.
France,Countries,Romantic streets cafes vineyards and famous French landmarks.
Italy,Countries,Historic cities coastal scenes and classic Italian landscapes.
Spain,Countries,Vibrant plazas architecture and warm Mediterranean scenery.
Australia,Countries,Beaches wildlife and iconic Australian landmarks ready to paint.
Portugal,Countries,Colorful towns cliffs and coastal beauty from Portugal.
Greece,Countries,Blue rooftops islands and ancient ruins in calming Mediterranean scenes.
Mexico,Countries,Colorful festivals landscapes and cultural imagery.
Brazil,Countries,Beaches carnival scenes and lively Brazilian culture.
China,Countries,Mountains temples and traditional Chinese landscapes.
Turkey,Countries,Historic architecture markets and scenic coastline views.
Israel,Countries,Historic sites nature and meaningful cultural landscapes.
Ireland,Countries,Green countryside castles and cozy village scenery.
Scotland,Countries,Highlands castles and misty dramatic landscapes.
Morocco,Countries,Spices markets desert scenes and traditional patterns.
Egypt,Countries,Pyramids desert sunsets and ancient inspired artwork.
Jordan,Countries,Iconic desert and archaeological landmarks.
Croatia,Countries,Coastal towns islands and scenic blue waters.
Iceland,Countries,Waterfalls glaciers and dramatic natural beauty.
Slovenia,Countries,Lakes mountains and charming European villages.
Poland,Countries,Historic towns architecture and cultural scenery.
Ukraine,Countries,Colorful villages cathedrals and fields.
Georgia,Countries,Mountains vineyards and heritage rich landscapes.
Lebanon,Countries,Coastal cities ruins and Mediterranean charm.
Malta,Countries,Stone architecture harbors and warm island scenery.
Cyprus,Countries,Beaches ruins and sun filled Mediterranean scenes.
India,Countries,Colorful festivals temples and diverse landscapes.
South Korea,Countries,Modern skylines blended with historic temples.
Thailand,Countries,Tropical beaches temples and rich cultural artwork.
Vietnam,Countries,Mountains rice fields and peaceful river scenes.
Philippines,Countries,Island beaches waterfalls and tropical nature.
Indonesia,Countries,Volcanoes jungles and cultural island imagery.
South Africa,Countries,Wildlife scenery and dramatic coastlines.
Kenya,Countries,Savannas sunsets and wildlife themed vistas.
Nigeria,Countries,Colorful cultural expressions and lively city scenes.
Argentina,Countries,Mountains tango culture and beautiful landscapes.
Chile,Countries,Deserts mountains and scenic coastline.
Peru,Countries,Incan heritage mountains and cultural scenery.
Colombia,Countries,Colorful towns jungles and lively cultural art.
Cuba,Countries,Colorful cars music culture and tropical charm.
New Zealand,Countries,Mountains lakes and breathtaking natural scenery.
Sweden,Countries,Natural landscapes forests and Scandinavian calmness.
Norway,Countries,Fiords mountains and dramatic winter scenes.
Finland,Countries,Forests lakes and peaceful Nordic style.
Switzerland,Countries,Alps snow peaks and postcard worthy villages.
Austria,Countries,Classic European towns mountains and music heritage.
Family,Family & Relationships,Heartwarming themes showing togetherness memories and love.
Romantic,Family & Relationships,Soft emotional scenes perfect for couples or meaningful decor.
Wedding,Family & Relationships,Special day inspired artwork capturing love celebration and elegance.
Nursery Art,Family & Relationships,Soft cute and calming designs ideal for baby rooms.
Gifts for Newborns,Family & Relationships,Sweet gentle artwork perfect as keepsake gifts.
Fantasy,"Fantasy, Myth & Imagination",Magical worlds creatures and dreamlike landscapes.
Mythology,"Fantasy, Myth & Imagination",Gods legends and powerful symbolic storytelling art.
Horror,"Fantasy, Myth & Imagination",Spooky dark and thrilling paint by numbers scenes.
Dinosaurs,"Fantasy, Myth & Imagination",Fun prehistoric creatures loved especially by kids.
Fairy Tales,"Fantasy, Myth & Imagination",Enchanted castles forests and classic story imagery.
Cyberpunk & Futuristic Cities,"Fantasy, Myth & Imagination",High tech neon styled cityscapes from imaginary futures.
Coffee Lovers,Food & Drink,Cozy cafe scenes beans cups and warm coffee moments.
Wine Lovers,Food & Drink,Vineyards bottles and relaxing wine themed art.
Beer & Breweries,Food & Drink,Brewery scenes mugs and celebration themed painting.
Cocktails & Mixology,Food & Drink,Colorful artistic drink designs full of style.
Tea Culture,Food & Drink,Calming tea rituals teapots and peaceful moments.
Baking & Desserts,Food & Drink,Sweet treats cakes and bakery inspired artwork.
Fruits,Food & Drink,Fresh colorful fruit still life scenes.
Pokémon,Games & Digital Worlds,Fun character themed painting inspired by beloved creatures.
Minecraft,Games & Digital Worlds,Blocky creative landscapes inspired by digital building worlds.
Roblox,Games & Digital Worlds,Game inspired character scenes full of movement.
Fortnite,Games & Digital Worlds,Action inspired painting themes for fans.
Gardening,Hobbies,Garden landscapes flowers and peaceful hobby themed art.
Woodworking,Hobbies,Workshops tools and craft inspired painting themes.
Photography,Hobbies,Scenes inspired by captured moments and artistic compositions.
Sewing / Knitting,Hobbies,Craft themed artwork highlighting handmade creativity.
Baking,Hobbies,Wholesome kitchen and baking inspired artwork.
Hiking,Hobbies,Outdoor trail and scenic adventure inspired art.
Chess,Hobbies,Strategic themed artwork inspired by classic board games.
Fishing,Hobbies,Quiet nature scenes centered around fishing moments.
Motivational,Lifestyle & Inspiration,Uplifting imagery that inspires positivity and progress.
Luxury & Glamour,Lifestyle & Inspiration,Stylish elegant artwork with refined visual themes.
Street & Pop Culture,Lifestyle & Inspiration,Modern expressive art inspired by urban life.
City Life,Lifestyle & Inspiration,Vibrant city scenes skylines and daily moments.
Nude Art,Lifestyle & Inspiration,Artistic tasteful figure painting focused on form and emotion.
Black Art,Lifestyle & Inspiration,Powerful culturally expressive artwork celebrating identity and beauty.
War & Military,Lifestyle & Inspiration,Respectful military themed artwork capturing history and strength.
Astrology,Lifestyle & Inspiration,Zodiac inspired mystical artwork.
Yoga & Meditation,Lifestyle & Inspiration,Peaceful calming scenes focused on relaxation and inner balance.
Mindfulness / Mandalas,Lifestyle & Inspiration,Intricate patterns designed for slow meditative painting.
Crystals & Healing Stones,Lifestyle & Inspiration,Spiritual crystal themed artwork symbolizing energy and calmness.
Chakras & Energy Flow,Lifestyle & Inspiration,Balanced spiritual art based on chakra symbolism.
Digital Nomad Lifestyle,Lifestyle & Inspiration,Travel work freedom and creative living inspired art.
Goth / Dark Aesthetic,Lifestyle & Inspiration,Moody alternative themed artwork with deep tones.
Marine Life,Marine Life,Underwater worlds featuring fish corals and ocean creatures.
Music,Music,Instruments concerts and artistic music themed artwork.
Dance,Music,Movement filled artwork featuring dancers and rhythm inspired scenes.
Nature,Nature & Travel,Peaceful natural scenery forests lakes and landscapes.
National Parks,Nature & Travel,Iconic protected landscapes turned into beautiful paintable art.
Travel,Nature & Travel,Globally inspired scenery capturing wanderlust and exploration.
Travel Posters,Nature & Travel,Retro style posters celebrating famous travel destinations.
Sailboats,Nature & Travel,Calm coastal and sailing themed artwork.
Planes,Nature & Travel,Aircraft and aviation inspired painting scenes.
Trains,Nature & Travel,Classic locomotives and scenic rail journeys.
Camping / Hiking,Nature & Travel,Outdoor adventures campfires and nature trails.
Harry Potter,Pop Culture & Entertainment,Fantasy inspired magical themed painting for fans.
Spider-Man,Pop Culture & Entertainment,Heroic action inspired scenes featuring iconic characters.
Batman,Pop Culture & Entertainment,Dark city themed superhero artwork.
Wonder Woman,Pop Culture & Entertainment,Strong character themed art with empowering visuals.
Iron Man,Pop Culture & Entertainment,Tech themed heroic artwork.
Superman,Pop Culture & Entertainment,Classic hero imagery full of strength and motion.
Cinderella,Pop Culture & Entertainment,Fairytale castle themed magical art.
Snow White,Pop Culture & Entertainment,Classic fairy tale inspired artwork.
Belle,Pop Culture & Entertainment,Romantic fantasy inspired scenes.
Ariel,Pop Culture & Entertainment,Underwater themed fantasy artwork.
Elsa and Anna,Pop Culture & Entertainment,Cold winter fantasy scenes focused on sisterly love.
Joker,Pop Culture & Entertainment,Dark theatrical character themed art.
Star Wars,Pop Culture & Entertainment,Galaxy inspired scenes with epic storytelling.
Game of Thrones,Pop Culture & Entertainment,Fantasy world landscapes and intense characters.
Lord of the Rings,Pop Culture & Entertainment,Majestic fantasy landscapes and mythic adventure scenes.
Rick & Morty,Pop Culture & Entertainment,Quirky sci fi cartoon inspired painting themes.
Anime,Pop Culture & Entertainment,Stylized character driven art with expressive details.
Pop Culture Icons,Pop Culture & Entertainment,Famous figure inspired designs recognizable and bold.
Cartoons,Pop Culture & Entertainment,Fun character driven painting themes for all ages.
Nurses,Professions & Roles,Heartfelt artwork celebrating care compassion and dedication.
Teachers,Professions & Roles,Classroom inspired artwork honoring educators.
Firefighters,Professions & Roles,Heroic scenes showing bravery and service.
Engineers,Professions & Roles,Creative technical themed art celebrating innovation.
Chefs,Professions & Roles,Kitchen and cooking themed artwork full of flavor and warmth.
Barbers,Professions & Roles,Barbershop inspired art celebrating style and craft.
Mechanics,Professions & Roles,Workshop and tool themed artwork.
Pilots,Professions & Roles,Aviation themed art focused on courage and exploration.
Programmers,Professions & Roles,Modern tech inspired scenes for coding enthusiasts.
Real Estate,Professions & Roles,Home lifestyle and architecture themed artwork.
Truckers,Professions & Roles,Road life trucking and adventure inspired themes.
Christianity,Religion & Spirituality,Faith based artwork featuring symbolic peaceful imagery.
Islamic Art,Religion & Spirituality,Geometric and cultural artistic designs with spiritual meaning.
Jewish Art,Religion & Spirituality,Meaningful cultural and faith centered artwork.
Hindu Art,Religion & Spirituality,Colorful spiritual imagery inspired by Hindu traditions.
Buddhist Art,Religion & Spirituality,Calming mindful art reflecting peace and enlightenment.
Sikh Art,Religion & Spirituality,Symbolic faith inspired artwork with cultural roots.
Taoism,Religion & Spirituality,Nature balanced and philosophical themed art.
Shinto,Religion & Spirituality,Spiritual nature connected artwork rooted in tradition.
Science & Space,Science & Knowledge,Planets galaxies and scientific themed artwork.
Soccer,Sports,Action packed soccer themed art for fans and players.
Basketball,Sports,Dynamic scenes capturing the energy of the court.
Tennis,Sports,Movement filled tennis themed artwork.
Baseball,Sports,Classic sports nostalgia inspired art.
American Football,Sports,Powerful game moments turned into bold paintings.
Formula 1 / Racing,Sports,Fast racing scenes filled with speed and adrenaline.
Golf,Sports,Peaceful golf course and sports lifestyle artwork.
Cricket,Sports,Cricket action scenes and classic sports moments.
Rugby,Sports,Dynamic rugby themed artwork capturing motion and intensity.
Ice Hockey,Sports,Fast paced winter sports scenes perfect for fans.
Boxing,Sports,Strong energetic boxing themed art pieces.
MMA / UFC,Sports,Fighting sport inspired artwork full of strength and power.
Cycling,Sports,Road and trail cycling scenes inspired by movement and adventure.
Volleyball,Sports,Beach and indoor volleyball dynamic artwork.
Table Tennis,Sports,Fast gameplay inspired painting themes.
Badminton,Sports,Light fast action themed artwork.
Surfing,Sports,Wave riding ocean adventure paintings.
Skiing & Snowboarding,Sports,Winter sports mountain scenery full of action.
Skateboarding,Sports,Urban skate culture captured in bold artistic scenes.
Classic Cars,Vehicles & Machines,Retro automotive artwork celebrating history and style.
Sports Cars,Vehicles & Machines,Fast sleek car paintings full of energy.
Motorcycles,Vehicles & Machines,Adventure driven motorcycle themed artwork.
Wildlife Animals,Wildlife Animals,Majestic animals in nature scenes from forests to savannas.
